customer_nr,mcc,hr_arvl_tusc,day_of_wk_arvl_tusc,mon_arvl_tusc,day_arvl_tusc,loc_arvl_tusc,hr_arvl_italy,day_of_wk_arvl_italy,mon_arvl_italy,day_arvl_italy,loc_arvl_italy,locs_outside_tuscany,unique_locs_outside_tuscany,start_lat,start_lon,end_lat,end_lon,hrs_in_italy,hrs_in_tusc,avg_lat,avg_lon,top_lat,top_lon,std_lat,std_lon,hrs_outside_tuscany,start_lat_tusc,start_lon_tusc,num_unique_loc_in_tusc,num_loc_in_tusc,num_unique_loc_in_italy,num_loc_in_italy,st_time,en_time,total_time,forest,water,river,park,arezzo,florence,grosseto,livorno,lucca,pisa,pistoia,siena,coast,num_attrs,country,label
8647391.0,216.0,9.0,4.0,11.0,2.0,59709031.0,9.0,4.0,11.0,2.0,59709031.0,0.0,0.0,43.4752,10.7279,43.9908,11.2144,119.0,119.0,43.773922,10.708066,43.9154,10.2961,0.213954,0.328243,0.0,43.4752,10.7279,24.0,40.0,24.0,40.0,1509614700000000000,1510044720000000000,7107.0,0.0,0.0,0.0,0.0,186.0,1626.0,0.0,0.0,1012.0,0.0,0.0,174.0,0.0,0.0,Hungary,0.0
8672159.0,216.0,15.0,0.0,11.0,5.0,57080012.0,11.0,0.0,11.0,5.0,2526232.0,79.0,70.0,46.525,13.6143,43.6368,11.2254,81.0,76.0,43.709041,11.278373,43.6368,11.2254,0.875974,0.599957,5.0,44.0757,11.2259,22.0,209.0,92.0,288.0,1509882420000000000,1510174140000000000,4538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8666116.0,216.0,7.0,5.0,11.0,3.0,58590011.0,0.0,5.0,11.0,3.0,58180031.0,377.0,161.0,42.5267,14.1207,41.5019,14.0862,40.0,21.0,43.684512,13.230443,43.6674,12.0596,1.039278,0.945909,19.0,42.3348,14.4226,8.0,16.0,169.0,393.0,1509667380000000000,1509814320000000000,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8666221.0,216.0,14.0,6.0,11.0,4.0,3631302.0,11.0,6.0,11.0,4.0,2547471.0,295.0,200.0,45.8174,13.1431,44.4978,11.3222,107.0,98.0,39.724792,14.327558,37.7244,15.1872,2.371212,1.947819,9.0,44.0757,11.2259,24.0,32.0,224.0,327.0,1509796200000000000,1510183740000000000,5475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8675588.0,216.0,15.0,6.0,11.0,4.0,57080012.0,0.0,6.0,11.0,4.0,37285011.0,281.0,87.0,45.8557,12.0031,44.8036,10.3295,95.0,73.0,43.411906,11.997825,42.7183,12.1081,1.18794,0.69271,22.0,44.0757,11.2259,57.0,72.0,144.0,353.0,1509754260000000000,1510099080000000000,5000.0,0.0,0.0,0.0,0.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8639579.0,216.0,17.0,3.0,11.0,1.0,3631302.0,10.0,3.0,11.0,1.0,2506037.0,48.0,42.0,45.8174,13.1431,45.9351,13.6106,100.0,89.0,43.71815,10.933296,43.4752,10.7279,0.536963,0.487552,11.0,44.0757,11.2259,160.0,405.0,202.0,453.0,1509533760000000000,1509896760000000000,4704.0,0.05381447624797062,0.0003244983446840391,0.0,0.0,0.0,306.0,0.0,92.0,106.0,215.0,0.0,154.0,0.0,0.0,Hungary,2.0
8639697.0,216.0,11.0,3.0,11.0,1.0,3631302.0,0.0,3.0,11.0,1.0,2520651.0,296.0,206.0,45.4972,12.6198,45.8643,13.4368,112.0,98.0,42.742684,12.305629,42.0597,12.5849,1.286998,0.536005,14.0,44.0757,11.2259,94.0,146.0,300.0,442.0,1509497760000000000,1509903300000000000,5311.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8668078.0,216.0,17.0,5.0,11.0,3.0,3652193.0,8.0,5.0,11.0,3.0,2600191.0,254.0,118.0,44.529,11.2941,45.633,8.7459,86.0,70.0,43.980456,11.100025,43.7721,11.264,0.596051,0.768663,16.0,43.7721,11.264,64.0,700.0,182.0,954.0,1509696840000000000,1510008360000000000,3676.0,0.0,0.0,0.00038198961668319226,4.37453015995884e-06,0.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Hungary,2.0
8668108.0,216.0,23.0,6.0,11.0,4.0,57080012.0,18.0,6.0,11.0,4.0,39807032.0,222.0,186.0,45.7006,13.8342,45.7006,13.8342,28.0,19.0,43.638654,12.020306,42.5378,12.4819,1.144169,0.66415,9.0,44.0757,11.2259,74.0,94.0,260.0,316.0,1509820560000000000,1509923160000000000,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8668188.0,216.0,10.0,0.0,11.0,5.0,3059343.0,5.0,0.0,11.0,5.0,29314013.0,3.0,3.0,45.6603,8.7958,43.8453,10.5038,8.0,3.0,45.007554,9.411576,45.651,8.804,0.938312,0.883825,5.0,43.8399,10.5159,3.0,6.0,6.0,9.0,1509859080000000000,1509889620000000000,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
