"customer_nr","cluster","medoids"
"6840423",1,0
"813958",1,0
"779840",1,0
"1381973",1,0
"5406474",1,0
"729092",1,0
"1075040",1,0
"6215689",1,0
"567098",1,0
"6168436",1,0
"5512067",1,0
"5348350",1,0
"6267282",1,0
"984909",1,0
"1052648",1,0
"2325411",1,0
"768711",1,0
"6476791",1,0
"5336733",1,0
"5541216",1,0
"5800353",1,0
"959766",1,0
"7261213",1,0
"5792368",1,0
"6053676",1,0
"5616234",1,0
"924668",1,0
"5653724",1,0
"6363374",1,0
"887374",1,0
"1313998",1,0
"6142918",1,0
"5835515",1,0
"498213",1,0
"6527977",1,0
"1009923",1,0
"5705553",1,0
"6165468",1,0
"6149744",1,0
"5702706",1,0
"5816178",1,0
"5754151",1,0
"1782762",1,0
"5918651",1,0
"1089434",1,0
"5785679",1,0
"1683705",1,0
"1573182",1,0
"5663926",1,0
"1003591",1,0
"942786",1,0
"5491503",1,0
"1097215",1,0
"6519716",1,0
"1987219",1,0
"852675",1,0
"2296826",1,0
"679951",1,0
"6183266",1,0
"5843980",1,0
"667161",1,0
"1084787",1,0
"1800321",1,0
"1518644",1,0
"5971767",1,0
"6156871",1,0
"5556982",1,0
"7207445",1,0
"603813",1,0
"5368486",1,0
"6598881",1,0
"1430704",1,0
"5753870",1,0
"565037",1,0
"1766844",1,0
"858337",1,0
"7411674",1,0
"6438494",1,0
"5382839",1,0
"918410",1,0
"662213",1,0
"6669283",1,0
"6189101",1,0
"5788503",1,0
"5314683",1,0
"910019",1,0
"5251735",1,0
"470641",1,0
"5602486",1,0
"7897598",1,0
"1159352",1,0
"1451726",1,0
"1721589",1,0
"5361108",1,0
"6906348",1,0
"839122",1,0
"5685326",1,0
"2451363",1,0
"2284839",1,0
"2094554",1,0
"5747922",1,0
"872681",1,0
"1601517",1,0
"1063623",1,0
"6106061",1,0
"799863",1,0
"2354925",1,0
"5425443",1,0
"5481352",1,0
"1246366",1,0
"5929843",1,0
"719135",1,0
"1158700",1,0
"860089",1,0
"6153290",1,0
"5819669",1,0
"6047362",1,0
"2603987",1,0
"1013070",1,0
"1930228",1,0
"5733318",1,0
"1378967",1,0
"896642",1,0
"412633",1,0
"2072356",1,0
"5575626",1,0
"700618",1,0
"1251108",1,0
"5899234",1,0
"2495607",1,0
"5488564",1,0
"1306251",1,0
"6921041",1,0
"5560980",1,0
"5421282",1,0
"1432408",1,0
"6753427",1,0
"633613",1,0
"6238243",1,0
"1647415",1,0
"538978",1,0
"6348812",1,0
"5591884",1,0
"776550",1,0
"6384978",1,0
"853565",1,0
"6872535",1,0
"2098406",1,0
"6142604",1,0
"5254615",1,0
"752066",1,0
"6562137",1,0
"2403045",1,0
"1451852",1,0
"5373746",1,0
"520776",1,0
"1664161",1,0
"6013295",1,0
"5795995",1,0
"6208333",1,0
"1914980",1,0
"1120688",1,0
"5920507",1,0
"1255541",1,0
